,日期,AQI
842,2020-04-24,93.731
843,2020-04-25,53.419
844,2020-04-26,37.593
845,2020-04-27,61.733
846,2020-04-28,87.852
847,2020-04-29,97.03
848,2020-04-30,127.776
849,2020-05-01,147.061
850,2020-05-02,86.582
851,2020-05-03,77.483
852,2020-05-04,53.482
853,2020-05-05,63.807
854,2020-05-06,94.853
855,2020-05-07,97.624
856,2020-05-08,57.13
857,2020-05-09,46.448
858,2020-05-10,54.633
859,2020-05-11,74.951
860,2020-05-12,89.576
861,2020-05-13,116.436
862,2020-05-14,79.597
863,2020-05-15,61.723
864,2020-05-16,65.053
865,2020-05-17,69.737
866,2020-05-18,44.13
867,2020-05-19,50.795
868,2020-05-20,53.64
869,2020-05-21,87.073
870,2020-05-22,60.072
871,2020-05-23,23.895
872,2020-05-24,31.502
873,2020-05-25,31.694
874,2020-05-26,32.826
875,2020-05-27,32.418
876,2020-05-28,70.472
877,2020-05-29,86.212
878,2020-05-30,85.605
879,2020-05-31,31.479
880,2020-06-01,53.069
881,2020-06-02,60.156
882,2020-06-03,146.707
883,2020-06-04,46.915
884,2020-06-05,48.289
885,2020-06-06,62.873
886,2020-06-07,87.933
887,2020-06-08,105.241
888,2020-06-09,74.8
889,2020-06-10,83.846
890,2020-06-11,74.679
891,2020-06-12,73.141
892,2020-06-13,86.11
893,2020-06-14,36.523
894,2020-06-15,59.037
895,2020-06-16,95.71
896,2020-06-17,70.834
897,2020-06-18,59.539
898,2020-06-19,59.171
899,2020-06-20,78.151
900,2020-06-21,75.263
901,2020-06-22,82.012
902,2020-06-23,70.101
903,2020-06-24,40.983
904,2020-06-25,46.746
905,2020-06-26,45.027
906,2020-06-27,92.796
907,2020-06-28,84.692
908,2020-06-29,45.394
909,2020-06-30,41.317
910,2020-07-01,66.748
911,2020-07-02,47.064
912,2020-07-03,61.378
913,2020-07-04,61.673
914,2020-07-05,45.108
915,2020-07-06,42.584
916,2020-07-07,36.081
917,2020-07-08,64.861
918,2020-07-09,43.797
919,2020-07-10,56.56
920,2020-07-11,93.245
921,2020-07-12,95.488
922,2020-07-13,63.308
923,2020-07-14,50.832
924,2020-07-15,55.901
925,2020-07-16,70.781
926,2020-07-17,65.871
927,2020-07-18,53.629
928,2020-07-19,43.999
929,2020-07-20,68.662
930,2020-07-21,64.6
931,2020-07-22,75.6
932,2020-07-23,61.967
933,2020-07-24,57.137
934,2020-07-25,64.702
935,2020-07-26,42.533
936,2020-07-27,64.2
937,2020-07-28,76.311
938,2020-07-29,68.086
939,2020-07-30,88.658
940,2020-07-31,60.984
941,2020-08-01,45.061
942,2020-08-02,44.609
943,2020-08-03,44.588
944,2020-08-04,45.279
945,2020-08-05,54.757
946,2020-08-06,48.303
947,2020-08-07,42.278
948,2020-08-08,47.362
949,2020-08-09,45.705
950,2020-08-10,38.109
951,2020-08-11,62.548
952,2020-08-12,51.318
953,2020-08-13,27.783
954,2020-08-14,51.609
955,2020-08-15,47.268
956,2020-08-16,47.556
957,2020-08-17,57.005
958,2020-08-18,42.566
959,2020-08-19,26.843
960,2020-08-20,32.956
961,2020-08-21,45.905
962,2020-08-22,57.08
963,2020-08-23,72.87
964,2020-08-24,31.162
965,2020-08-25,47.906
966,2020-08-26,77.484
967,2020-08-27,63.703
968,2020-08-28,42.385
969,2020-08-29,66.76
970,2020-08-30,68.971
971,2020-08-31,30.286
972,2020-09-01,31.299
973,2020-09-02,31.514
974,2020-09-03,22.654
975,2020-09-04,38.169
976,2020-09-05,53.45
977,2020-09-06,85.635
978,2020-09-07,38.241
979,2020-09-08,25.894
980,2020-09-09,29.276
981,2020-09-10,25.024
982,2020-09-11,18.959
983,2020-09-12,23.728
984,2020-09-13,43.005
985,2020-09-14,55.716
986,2020-09-15,45.26
987,2020-09-16,19.841
988,2020-09-17,24.141
989,2020-09-18,32.918
990,2020-09-19,41.367
